83310,1668857703812,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page666,enter,0.6119,100,ardinghellounddieglckseligeninseln-327ca;ardinghellounddieglckseligeninseln-38903;ardinghellounddieglckseligeninseln-7eae2;ardinghellounddieglckseligeninseln-ee0fa
83311,1668857708006,dabcb69066dd91d3d76cef45de67d94f,ywTfO,home,,enter,,0,
83312,1668857714027,dabcb69066dd91d3d76cef45de67d94f,ywTfO,fifty-saetze,,enter,,0,
83313,1668857723836,dabcb69066dd91d3d76cef45de67d94f,ywTfO,home,,enter,,0,
83314,1668857725116,dabcb69066dd91d3d76cef45de67d94f,ywTfO,zu-den-texten,,enter,,0,
83315,1668857759030,dabcb69066dd91d3d76cef45de67d94f,ywTfO,titelblatt_jedermann,,enter,jedermann,0,
83316,1668857762669,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_jedermann,,enter,jedermann,0,
83317,1668857780404,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_jedermann,page2,enter,0.0162,4,jedermann-08a75;jedermann-09534;jedermann-1d2ef;jedermann-22d5d;jedermann-29293;jedermann-45b44;jedermann-47ad7;jedermann-9f837;jedermann-b7df9;jedermann-c928b
83318,1668857783758,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_jedermann,location,set,ort-3,0,
83319,1668857784941,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_jedermann,page3,enter,0.0216,55,jedermann-1fd50;jedermann-32c37;jedermann-33e42;jedermann-4100c;jedermann-46db5;jedermann-7eeba;jedermann-84eba;jedermann-9c707;jedermann-b671b;jedermann-d08eb;jedermann-e213b;jedermann-ec81c;jedermann-f6d25
