13773,1651758802417,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,reader_briefandenvater,page42,enter,0.3496,131,briefandenvater-0-1-1-31
13774,1651758806466,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,home,,enter,,0,
13775,1651758807158,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,fifty-saetze,,enter,,0,
13776,1651758809488,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,reader_desknabenwunderhorn,,enter,desknabenwunderhorn,0,
13777,1651758809596,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,reader_desknabenwunderhorn,page42,enter,0.3496,131,briefandenvater-0-1-1-31
13778,1651758814589,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,reader_desknabenwunderhorn,location,set,ort-1,0,
13779,1651758823491,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,home,,enter,,0,
13780,1651758824328,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,fifty-saetze,,enter,,0,
13781,1651758826069,a1d7ca2c65edec98d1f0c22d83d465a9,D8vA4,reader_dermessias,,enter,dermessias,0,
13782,1651758838478,8c9117a36b452e3644cd15c714eb1eed,PmcWv,home,,enter,,0,
13783,1651758839386,8c9117a36b452e3644cd15c714eb1eed,PmcWv,fifty-saetze,,enter,,0,
13784,1651758840982,8c9117a36b452e3644cd15c714eb1eed,PmcWv,reader_buntesteine,,enter,buntesteine,0,
13785,1651758848172,8c9117a36b452e3644cd15c714eb1eed,PmcWv,home,,enter,,0,
13786,1651758848873,8c9117a36b452e3644cd15c714eb1eed,PmcWv,fifty-saetze,,enter,,0,
13787,1651758850419,8c9117a36b452e3644cd15c714eb1eed,PmcWv,reader_desknabenwunderhorn,,enter,desknabenwunderhorn,0,
