7987,1647973353000,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page28,enter,0.0319,263,antonreiser-0-1-2-2-85;antonreiser-0-1-2-2-86;antonreiser-0-1-2-2-88;antonreiser-0-1-2-2-90;antonreiser-0-1-2-2-91;antonreiser-0-1-2-2-92
7988,1647973367509,499291d75aa16aff93d9c25d00d825cc,ypvZa,reader_antonreiser,,enter,antonreiser,0,
7989,1647973367498,499291d75aa16aff93d9c25d00d825cc,ypvZa,start,,enter,,0,
7990,1647973369464,499291d75aa16aff93d9c25d00d825cc,ypvZa,reader_antonreiser,page28,enter,0.0319,88,antonreiser-0-1-2-2-85;antonreiser-0-1-2-2-86
7991,1647973377222,499291d75aa16aff93d9c25d00d825cc,ypvZa,home,,enter,,0,
7992,1647973379309,499291d75aa16aff93d9c25d00d825cc,ypvZa,zu-den-texten,,enter,,0,
7993,1647973456591,499291d75aa16aff93d9c25d00d825cc,ypvZa,titelblatt_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7994,1647973459406,499291d75aa16aff93d9c25d00d825cc,ypvZa,literaturmuseum_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7995,1647973466424,499291d75aa16aff93d9c25d00d825cc,ypvZa,titelblatt_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7996,1647973467588,499291d75aa16aff93d9c25d00d825cc,ypvZa,warum-lesen-wir_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7997,1647973473161,499291d75aa16aff93d9c25d00d825cc,ypvZa,titelblatt_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7998,1647973474115,499291d75aa16aff93d9c25d00d825cc,ypvZa,reader_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
7999,1647973476791,499291d75aa16aff93d9c25d00d825cc,ypvZa,reader_kinderundhausmrchen,page1,enter,0.0013,112,kinderundhausmrchen-0-1-1-1;kinderundhausmrchen-0-1-1-2
8000,1647973526003,499291d75aa16aff93d9c25d00d825cc,ypvZa,reader_kinderundhausmrchen,location,set,ort-3,0,
8001,1647973914733,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,start,,enter,,0,
8002,1647973921469,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,datenschutz-bestaetigen,,enter,,0,
8003,1647973924615,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,fragebogen,,enter,,0,
8004,1647973943652,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,home,,enter,,0,
8005,1647973953244,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,gluecksaufschlag-intro,,enter,,0,
8006,1647973967393,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,gluecksaufschlag,,enter,,0,
8007,1647974071167,aad8bc19bda50dcf206b9756a818dbc2,T3qy0,reader_derprozess,,enter,derprozess,0,
