162761,1737157282143,4e9c478f143e4fe05c7a229fe7ba39ac,UCJSk,reader_dieleidendesjungenwerthers,page1,enter,0.0068,87,dieleidendesjungenwerthers-54f9c;dieleidendesjungenwerthers-8500c;dieleidendesjungenwerthers-ae100;dieleidendesjungenwerthers-b1d6e;dieleidendesjungenwerthers-f0299
162853,1737162564986,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_ardinghellounddieglckseligeninseln,,enter,ardinghellounddieglckseligeninseln,0,
162854,1737162566251,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162855,1737162571512,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_desknabenwunderhorn,,enter,desknabenwunderhorn,0,
162856,1737162573088,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162857,1737162577246,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_diepiccolomini,,enter,diepiccolomini,0,
162858,1737162578791,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162859,1737162582090,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_diemarquisevono,,enter,diemarquisevono,0,
162860,1737162583881,7cca99778558848ec788231ba4c82700,jcUM0,reader_diemarquisevono,,enter,diemarquisevono,0,
162861,1737162595941,7cca99778558848ec788231ba4c82700,jcUM0,reader_diemarquisevono,page1,enter,0.0124,84,diemarquisevono-46a97;diemarquisevono-9ebaf;diemarquisevono-fb852
162862,1737162602996,7cca99778558848ec788231ba4c82700,jcUM0,reader_diemarquisevono,location,set,ort-3,0,
162863,1737162619045,7cca99778558848ec788231ba4c82700,jcUM0,reader_diemarquisevono,page2,leave,0.0062,84,diemarquisevono-46a97;diemarquisevono-9ebaf;diemarquisevono-fb852
162864,1737162619496,7cca99778558848ec788231ba4c82700,RsBnh,reader_diemarquisevono,page2,reenter,0.0062,84,diemarquisevono-46a97;diemarquisevono-9ebaf;diemarquisevono-fb852
162865,1737162623025,7cca99778558848ec788231ba4c82700,RsBnh,reader_diemarquisevono,page2,leave,0.0062,84,diemarquisevono-46a97;diemarquisevono-9ebaf;diemarquisevono-fb852
162866,1737196579621,e7e079815efcef460de96917c660413c,2dkhH,start,,enter,,0,
162867,1737196582612,e7e079815efcef460de96917c660413c,2dkhH,datenschutz-bestaetigen,,enter,,0,
162868,1737196586854,e7e079815efcef460de96917c660413c,2dkhH,fragebogen,,enter,,0,
162869,1737196590895,e7e079815efcef460de96917c660413c,2dkhH,home,,enter,,0,
162870,1737196599990,e7e079815efcef460de96917c660413c,2dkhH,zu-den-texten,,enter,,0,
162871,1737196626454,e7e079815efcef460de96917c660413c,2dkhH,home,,enter,,0,
